"","ID","Sex","Condition","BG_Type","BG_Intensity","Stim","Dur (ms)","Freq (kHz)","Inten (dB)","n","mean","sd","median","se"
"197","Green 3","Male","Post HHL","NA","NA","tone",50,8,70,82,152.182926829268,40.763433156273,143,4.50156813149723
"198","Green 3","Male","Post HHL","NA","NA","tone",50,8,80,66,140.515151515152,41.120551636618,139.5,5.06159001084395
"199","Green 3","Male","Post HHL","NA","NA","tone",50,8,90,66,130.621212121212,52.806982391322,118.5,6.50009019666719
"200","Green 3","Male","Post HHL","NA","NA","tone",50,16,15,18,191.666666666667,54.8280735304353,178,12.9231008642552
"201","Green 3","Male","Post HHL","NA","NA","tone",50,16,20,36,188.888888888889,68.3991552904306,174.5,11.3998592150718
"202","Green 3","Male","Post HHL","NA","NA","tone",50,16,25,23,157.217391304348,35.0635222544081,148,7.31124979765512
"203","Green 3","Male","Post HHL","NA","NA","tone",50,16,30,102,183.764705882353,91.9236851442907,168.5,9.10180109869809
"204","Green 3","Male","Post HHL","NA","NA","tone",50,16,35,23,130.478260869565,36.4802182574429,134,7.60665133462491
"205","Green 3","Male","Post HHL","NA","NA","tone",50,16,40,80,170.7125,34.9086307379708,165,3.90290356657707
"206","Green 3","Male","Post HHL","NA","NA","tone",50,16,50,82,162.5,51.3146310327249,156,5.66675301491149
"207","Green 3","Male","Post HHL","NA","NA","tone",50,16,60,81,155.740740740741,41.3711184819125,145,4.59679094243473
"208","Green 3","Male","Post HHL","NA","NA","tone",50,16,70,66,155.863636363636,43.1433697067157,149.5,5.31058170307221
"209","Green 3","Male","Post HHL","NA","NA","tone",50,16,80,66,157.30303030303,34.2977773206593,148,4.22176454767709
"210","Green 3","Male","Post HHL","NA","NA","tone",50,16,90,66,140.181818181818,32.2847470968087,139,3.97397765603686
"211","Green 3","Male","Post HHL","NA","NA","tone",50,32,0,28,280.642857142857,246.429197146664,179,46.5707408168128
"212","Green 3","Male","Post HHL","NA","NA","tone",50,32,5,19,193.894736842105,176.953507621774,148,40.5959188120193
"213","Green 3","Male","Post HHL","NA","NA","tone",50,32,10,37,164.081081081081,70.6998264882274,161,11.6229798773291
"214","Green 3","Male","Post HHL","NA","NA","tone",50,32,15,23,138.95652173913,29.0164189584097,121,6.0503415971474
"215","Green 3","Male","Post HHL","NA","NA","tone",50,32,20,40,154.325,43.3189645802816,146,6.84932969769249
"216","Green 3","Male","Post HHL","NA","NA","tone",50,32,30,82,172.792682926829,47.8420079383928,162.5,5.28326594712164
"217","Green 3","Male","Post HHL","NA","NA","tone",50,32,40,82,164.621951219512,44.3155464858922,157.5,4.89383342727788
"218","Green 3","Male","Post HHL","NA","NA","tone",50,32,50,82,154.390243902439,56.6589877362612,148,6.25693848157134
"219","Green 3","Male","Post HHL","NA","NA","tone",50,32,60,66,150.712121212121,48.7482591883318,145,6.00049590613872
"220","Green 3","Male","Post HHL","NA","NA","tone",50,32,70,66,150.818181818182,40.0764304762822,142,4.93306758045514
"221","Green 3","Male","Post HHL","NA","NA","tone",50,32,80,66,152.166666666667,50.5960118018843,143.5,6.22793853030185
"222","Green 3","Male","Post HHL","NA","NA","tone",50,32,90,66,132.090909090909,38.9629912264791,131,4.79601268308197
"223","Green 4","Male","Baseline","NA","NA","BBN",50,0,20,76,510.881578947368,471.335520045053,262,54.0658921151993
"224","Green 4","Male","Baseline","NA","NA","BBN",50,0,25,88,290.238636363636,373.491879131835,174,39.8143680919552
"225","Green 4","Male","Baseline","NA","NA","BBN",50,0,30,222,237.436936936937,296.445325223192,162,19.8961075063436
"226","Green 4","Male","Baseline","NA","NA","BBN",50,0,35,91,131.142857142857,30.053866983051,131,3.15050130431898
"227","Green 4","Male","Baseline","NA","NA","BBN",50,0,40,228,132.59649122807,42.1145321739824,127.5,2.78910302835483
