"","ID","Genotype","Duration","Dur (ms)","Intensity","Phase","count","Rxn"
"221","GP 3","Tsc2_LE_Het","Alone",50,30,"BBN Rxn",6,405.075636015326
"222","GP 3","Tsc2_LE_Het","Alone",50,30,"BBN TH",5,388.844954751131
"223","GP 3","Tsc2_LE_Het","Alone",50,35,"BBN TH",3,364.52100729927
"224","GP 3","Tsc2_LE_Het","Rotating",50,40,"BBN Rotating",1,387.000425531915
"225","GP 3","Tsc2_LE_Het","Alone",50,40,"BBN Rxn",6,394.159404761905
"226","GP 3","Tsc2_LE_Het","Alone",50,40,"BBN TH",5,376.954642241379
"227","GP 3","Tsc2_LE_Het","Alone",50,45,"BBN TH",3,368.604905109489
"228","GP 3","Tsc2_LE_Het","Rotating",50,50,"BBN Rotating",1,375.302260869565
"229","GP 3","Tsc2_LE_Het","Alone",50,50,"BBN Rxn",6,415.697109215017
"230","GP 3","Tsc2_LE_Het","Alone",50,50,"BBN TH",2,419.490422680412
"231","GP 3","Tsc2_LE_Het","Rotating",50,60,"BBN Rotating",1,365.987652173913
"232","GP 3","Tsc2_LE_Het","Alone",50,60,"BBN Rxn",6,412.120380952381
"233","GP 3","Tsc2_LE_Het","Alone",50,60,"BBN TH",2,390.453239583333
"234","GP 3","Tsc2_LE_Het","Rotating",50,70,"BBN Rotating",1,411.080347826087
"235","GP 3","Tsc2_LE_Het","Alone",50,70,"BBN Rxn",6,410.12213220339
"236","GP 3","Tsc2_LE_Het","Alone",50,70,"BBN TH",2,421.094125
"237","GP 3","Tsc2_LE_Het","Rotating",50,80,"BBN Rotating",1,345.954173913043
"238","GP 3","Tsc2_LE_Het","Alone",50,80,"BBN Rxn",6,393.658559322034
"239","RP 1","Tsc2_LE_WT","Alone",100,25,"BBN TH",3,311.555433333333
"240","RP 1","Tsc2_LE_WT","Alone",100,30,"BBN Rxn",5,239.867305882353
"241","RP 1","Tsc2_LE_WT","Alone",100,30,"BBN TH",5,246.685988700565
"242","RP 1","Tsc2_LE_WT","Alone",100,35,"BBN TH",3,228.364401960784
"243","RP 1","Tsc2_LE_WT","Alone",100,40,"BBN Rxn",5,204.938879310345
"244","RP 1","Tsc2_LE_WT","Alone",100,40,"BBN TH",5,227.130348314607
"245","RP 1","Tsc2_LE_WT","Alone",100,45,"BBN TH",3,212.930693069307
"246","RP 1","Tsc2_LE_WT","Alone",100,50,"BBN Rxn",5,201.446488505747
"247","RP 1","Tsc2_LE_WT","Alone",100,50,"BBN TH",2,214.513868421053
"248","RP 1","Tsc2_LE_WT","Alone",100,60,"BBN Rxn",5,170.867912790698
"249","RP 1","Tsc2_LE_WT","Alone",100,60,"BBN TH",2,158.406513157895
"250","RP 1","Tsc2_LE_WT","Alone",100,70,"BBN Rxn",5,153.526643678161
"251","RP 1","Tsc2_LE_WT","Alone",100,70,"BBN TH",2,140.2695
"252","RP 1","Tsc2_LE_WT","Alone",100,80,"BBN Rxn",5,104.511620689655
