"","Date","File","Weight","WeightChange","Trials","Hit","FA","Thresholds","Phase","ID","Genotype","Frequency","Intensity","Duration","BG_Type","BG_Intensity","Condition","Sex","BBN_TH","4_TH","8_TH","16_TH","32_TH"
"251",2021-07-12,"16kHz_30-90dB_300ms_4s",221,-0.181481481481481,248,0.908,0.12,NA,"Thresholding, 16kHz","Orange 4","TTS Noise","16kHz","30-90dB","300ms","NA","NA","Baseline","Female",NA,NA,NA,NA,NA
"252",2021-07-13,"16kHz_10-70dB_300ms_4s",212,-0.214814814814815,213,0.832,0.188,NA,"Thresholding, 16kHz","Orange 4","TTS Noise","16kHz","10-70dB","300ms","NA","NA","Baseline","Female",NA,NA,NA,NA,NA
"253",2021-07-14,"16kHz_10-40dB_300ms_4s",213,-0.211111111111111,396,0.791,0.263,NA,"Thresholding, 16kHz","Orange 4","TTS Noise","16kHz","10-40dB","300ms","NA","NA","Baseline","Female",NA,NA,NA,NA,NA
"254",2021-07-15,"16kHz_10-40dB_300ms_4s",218,-0.192592592592593,398,0.817,0.283,NA,"Thresholding, 16kHz","Orange 4","TTS Noise","16kHz","10-40dB","300ms","NA","NA","Baseline","Female",NA,NA,NA,NA,NA
"255",2021-07-19,"32kHz_30-90dB_300ms_4s",224,-0.17037037037037,255,1,0.115,NA,"Thresholding, 32kHz","Orange 4","TTS Noise","32kHz","30-90dB","300ms","NA","NA","Baseline","Female",NA,NA,NA,NA,NA
"256",2021-07-20,"32kHz_30-90dB_300ms_4s",229,-0.151851851851852,302,1,0.1,NA,"Thresholding, 32kHz","Orange 4","TTS Noise","32kHz","30-90dB","300ms","NA","NA","Baseline","Female",NA,NA,NA,NA,NA
"257",2021-07-21,"32kHz_30-90dB_300ms_4s",225,-0.166666666666667,222,1,0.076,NA,"Thresholding, 32kHz","Orange 4","TTS Noise","32kHz","30-90dB","300ms","NA","NA","Baseline","Female",NA,NA,NA,NA,NA
"258",2021-07-22,"32kHz_30-90dB_300ms_4s",227,-0.159259259259259,360,0.98,0.12,NA,"Thresholding, 32kHz","Orange 4","TTS Noise","32kHz","30-90dB","300ms","NA","NA","Baseline","Female",NA,NA,NA,NA,NA
"259",2021-07-23,"32kHz_10-70dB_300ms_4s",225,-0.166666666666667,364,0.891,0.12,NA,"Thresholding, 32kHz","Orange 4","TTS Noise","32kHz","10-70dB","300ms","NA","NA","Baseline","Female",NA,NA,NA,NA,NA
"260",2021-07-24,"32kHz_10-40dB_300ms_4s",230,-0.148148148148148,332,0.866,0.14,NA,"Thresholding, 32kHz","Orange 4","TTS Noise","32kHz","10-40dB","300ms","NA","NA","Baseline","Female",NA,NA,NA,NA,NA
"261",2021-07-26,"32kHz_10-40dB_300ms_4s",230,-0.148148148148148,335,0.902,0.18,NA,"Thresholding, 32kHz","Orange 4","TTS Noise","32kHz","10-40dB","300ms","NA","NA","Baseline","Female",NA,NA,NA,NA,NA
"262",2021-07-27,"32kHz_30-90dB_300ms_4s_1.5s",227,-0.159259259259259,372,1,0.063,NA,"Thresholding, 32kHz","Orange 4","TTS Noise","32kHz","30-90dB","300ms","NA","NA","Baseline","Female",NA,NA,NA,NA,NA
"263",2021-07-28,"32kHz_10-40dB_300ms_4s_1.5s",233,-0.137037037037037,290,0.823,0.071,NA,"Thresholding, 32kHz","Orange 4","TTS Noise","32kHz","10-40dB","300ms","NA","NA","Baseline","Female",NA,NA,NA,NA,NA
"264",2021-07-29,"32kHz_10-40dB_300ms_4s_1.5s",224,-0.17037037037037,151,0.849,0.111,NA,"Thresholding, 32kHz","Orange 4","TTS Noise","32kHz","10-40dB","300ms","NA","NA","Baseline","Female",NA,NA,NA,NA,NA
"265",2021-07-30,"32kHz_10-40dB_300ms_4s_1s",229,-0.151851851851852,394,0.928,0.042,NA,"Thresholding, 32kHz","Orange 4","TTS Noise","32kHz","10-40dB","300ms","NA","NA","Baseline","Female",NA,NA,NA,NA,NA
